"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2024","229.00","232.00","229.00","229.00","1.84M","-1.29%"
"03/04/2024","232.00","232.00","232.00","225.00","1.31M","0.00%"
"02/04/2024","232.00","232.00","235.00","220.00","203.03K","0.00%"
"28/03/2024","232.00","229.90","232.00","229.90","3.21M","0.91%"
"27/03/2024","229.90","231.00","231.00","229.90","2.63M","-0.48%"
"26/03/2024","231.00","235.00","231.00","230.00","5.25M","-1.70%"
"25/03/2024","235.00","235.00","238.00","235.00","11.06M","0.00%"
"22/03/2024","235.00","235.00","235.00","235.00","1.49M","0.00%"
"21/03/2024","235.00","240.00","235.00","235.00","728.42K","-2.08%"
"20/03/2024","240.00","240.00","240.00","230.10","381.59K","0.00%"
"19/03/2024","240.00","247.50","240.00","240.00","2.84M","-3.03%"
"18/03/2024","247.50","267.80","248.00","247.50","1.61M","-7.58%"
"15/03/2024","267.80","248.00","267.80","267.80","2.04M","7.98%"
"14/03/2024","248.00","249.00","249.00","248.00","3.21M","-0.40%"
"13/03/2024","249.00","243.50","249.00","248.60","2.90M","2.26%"
"12/03/2024","243.50","221.40","243.50","230.00","1.72M","9.98%"
"11/03/2024","221.40","221.40","243.30","223.00","1.68M","0.00%"
"08/03/2024","221.40","201.30","221.40","201.30","5.87M","9.99%"
"07/03/2024","201.30","183.00","201.30","185.00","2.02M","10.00%"
"06/03/2024","183.00","183.00","196.90","184.10","1.01M","0.00%"
"05/03/2024","183.00","185.00","183.00","175.00","5.00M","-1.08%"
"04/03/2024","185.00","200.70","185.00","185.00","4.60M","-7.82%"
"01/03/2024","200.70","222.90","200.70","200.70","1.68M","-9.96%"
"29/02/2024","222.90","222.90","220.90","200.70","1.04M","0.00%"
"28/02/2024","222.90","222.90","208.50","200.70","1.23M","0.00%"
"27/02/2024","222.90","247.50","222.90","222.90","1.42M","-9.94%"
"26/02/2024","247.50","247.50","233.00","222.80","1.13M","0.00%"
"23/02/2024","247.50","247.50","234.90","222.80","1.12M","0.00%"
"22/02/2024","247.50","247.50","234.70","222.80","1.16M","0.00%"
"21/02/2024","247.50","247.50","228.90","222.80","1.31M","0.00%"
"20/02/2024","247.50","247.50","244.00","222.80","810.32K","0.00%"
"19/02/2024","247.50","275.00","247.50","247.50","299.74K","-10.00%"
"16/02/2024","275.00","275.00","250.00","247.50","1.19M","0.00%"
"15/02/2024","275.00","275.00","250.00","247.50","1.25M","0.00%"
"14/02/2024","275.00","275.00","249.50","247.50","997.55K","0.00%"
"13/02/2024","275.00","275.00","252.00","248.70","1.20M","0.00%"
"12/02/2024","275.00","275.00","260.00","247.50","1.33M","0.00%"
"09/02/2024","275.00","275.00","265.00","248.10","281.97K","0.00%"
"08/02/2024","275.00","275.00","275.00","247.50","535.84K","0.00%"
"07/02/2024","275.00","275.00","275.00","268.60","276.88K","0.00%"
"06/02/2024","275.00","274.00","275.00","275.00","2.43M","0.36%"
"05/02/2024","274.00","290.00","274.00","274.00","1.77M","-5.52%"
"02/02/2024","290.00","275.00","290.00","290.00","904.44K","5.45%"
"01/02/2024","275.00","281.00","275.00","275.00","1.80M","-2.14%"
"31/01/2024","281.00","293.90","319.80","281.00","10.73M","-4.39%"
"30/01/2024","293.90","293.90","292.00","271.10","1.78M","0.00%"
"29/01/2024","293.90","293.90","292.00","286.00","792.31K","0.00%"
"26/01/2024","293.90","293.90","292.40","286.10","884.98K","0.00%"
"25/01/2024","293.90","293.90","291.70","286.00","1.63M","0.00%"
"24/01/2024","293.90","293.90","292.90","285.30","885.78K","0.00%"
"23/01/2024","293.90","290.00","293.90","290.00","3.04M","1.34%"
"22/01/2024","290.00","290.10","290.00","290.00","6.08M","-0.03%"
"19/01/2024","290.10","288.10","290.10","290.00","2.51M","0.69%"
"18/01/2024","288.10","288.00","288.10","288.10","1.66M","0.03%"
"17/01/2024","288.00","288.00","288.00","288.00","1.67M","0.00%"
"16/01/2024","288.00","283.00","288.50","286.00","1.59M","1.77%"
"15/01/2024","283.00","283.00","288.50","275.10","2.83M","0.00%"
"12/01/2024","283.00","283.00","287.90","280.10","382.85K","0.00%"
"11/01/2024","283.00","282.00","283.00","281.30","3.41M","0.35%"
"10/01/2024","282.00","295.00","285.00","282.00","3.50M","-4.41%"
"09/01/2024","295.00","285.00","295.00","295.00","2.28M","3.51%"
"08/01/2024","285.00","285.00","285.00","283.00","4.02M","0.00%"
"05/01/2024","285.00","271.50","285.00","285.00","804.52K","4.97%"
"04/01/2024","271.50","264.00","271.50","271.50","1.37M","2.84%"
"03/01/2024","264.00","264.00","280.00","264.00","441.14K","0.00%"
"02/01/2024","264.00","264.00","274.00","263.00","564.33K","0.00%"
"29/12/2023","264.00","262.50","264.00","264.00","675.81K","0.57%"
"28/12/2023","262.50","251.00","262.50","255.00","3.10M","4.58%"
"27/12/2023","251.00","250.00","251.00","251.00","680.40K","0.40%"
"22/12/2023","250.00","259.80","250.00","250.00","2.20M","-3.77%"
